index,95,98,99,99.9
1,12.706,31.821,63.657,636.619
2,4.303,6.965,9.925,31.598
3,3.182,4.541,5.541,12.924
4,2.776,3.747,4.604,8.610
5,2.571,3.365,4.032,6.869
6,2.447,3.143,3.707,5.959
7,2.365,2.365,3.499,5.408
8,2.306,2.896,3.355,5.041
9,2.262,2.821,3.250,4.781
10,2.228,2.764,3.169,4.587
11,2.201,2.718,3.106,4.437
12,2.179,2.681,3.055,4.318
13,2.160,2.650,3.012,4.221
14,2.145,2.624,2.977,4.140
15,2.131,2.602,2.947,4.073
16,2.120,2.583,2.921,4.015
17,2.110,2.567,2.898,3.965
18,2.101,2.552,2.878,3.922
19,2.093,2.539,2.861,3.883
20,2.086,2.528,2.845,3.850
21,2.080,2.518,2.831,3.819
22,2.074,2.508,2.819,3.792
23,2.069,2.500,2.807,3.767
24,2.064,2.492,2.797,3.745
25,2.060,2.485,2.787,3.726
26,2.056,2.479,2.779,3.707
27,2.052,2.473,2.771,3.690
28,2.048,2.467,2.763,3.674
29,2.045,2.462,2.756,3.659
30,2.042,2.457,2.750,3.646
40,2.021,2.423,2.704,3.551
60,2.000,2.390,2.660,3.460
120,1.980,2.358,2.617,3.373
i,1.960,2.326,2.576,3.291